,player,map,times_played,observer_1_acc,observer_2_acc,observer_3_acc,observer_4_acc,observer_5_acc,observer_1,observer_2,observer_3,observer_4,observer_5,weighted_acc
42,C-3PO,1,1,0.7352941176470589,0.7058823529411765,0.7205882352941176,0.7058823529411765,0.6323529411764706,0.8043488901973361,0.04247576483820749,0.0878136708972038,0.042482518440157165,0.02287915562709542,0.7291487598993589
43,nashq,1,0,0.4,0.35,0.35,0.35,0.3,0.8835848579473708,0.02597210432993577,0.048747045410897,0.025949810132890515,0.015746182178905915,0.3933919337884233
44,Obama,1,1,0.5357142857142857,0.5,0.5178571428571429,0.5,0.5,0.5575670898192674,0.1063253022164271,0.1513902668196334,0.1063253022164271,0.07839203892824487,0.5226165079724672
45,Obama,1,2,0.7674418604651163,0.6976744186046512,0.7093023255813954,0.6976744186046512,0.6046511627906976,0.9706608828734011,0.0057407731095230775,0.015302030055392792,0.005738178203174309,0.002558135758508806,0.7653349097817179
46,alphaZ,1,0,0.4411764705882353,0.35294117647058826,0.39705882352941174,0.35294117647058826,0.3235294117647059,0.5450526247862062,0.10733341872110391,0.15895141543428298,0.10923734370043296,0.07942519735797403,0.40571058235741386
47,Basura,1,0,0.6363636363636364,0.5584415584415584,0.5714285714285714,0.5584415584415584,0.5454545454545454,0.9802791365727449,0.0038516059404427308,0.010199180818661386,0.0039017270262208044,0.0017683496419301074,0.6349364370209505
48,Li Kai,1,0,0.7634408602150538,0.6881720430107527,0.6989247311827957,0.6881720430107527,0.6236559139784946,0.4347212661799539,0.12778467312587935,0.23429533117832385,0.12835124705773274,0.07484748245811011,0.7185834333299929
49,juanito,1,0,0.32432432432432434,0.24324324324324326,0.28378378378378377,0.24324324324324326,0.24324324324324326,0.554670487605262,0.1035216460065192,0.15720103354849288,0.10673364478372255,0.07787318805600339,0.2945895408956358
50,juanito,1,1,0.5072463768115942,0.4492753623188406,0.463768115942029,0.4492753623188406,0.391304347826087,0.7957631267865714,0.045984248430129854,0.08504328373833436,0.045984248430129854,0.027225092614834825,0.4950608031945695
51,CheeSeng,1,0,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.7777777777777778,0.6424901836493012,0.0740407210661045,0.17392873715892063,0.07414452076273315,0.03539583736294051,0.801595164509557
52,CheeSeng,1,1,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.2773840160680871,0.1773137146076898,0.230309579772902,0.1773137146076898,0.13767897494363127,0.8148148148148148
53,CheeSeng,1,2,0.7464788732394366,0.647887323943662,0.6619718309859155,0.647887323943662,0.6338028169014085,0.42033660800412087,0.12212187292427759,0.2726088584417577,0.124404121236936,0.06052853939290775,0.6923160080996859
54,CheeSeng,1,3,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.06664627590026143,0.21621903254921843,0.3720001726501028,0.21621903254921843,0.1289154863511989,0.6394755596264001
55,Badminton,1,0,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.5862068965517241,0.09641770571489305,0.213882743837155,0.33958200706884845,0.2145081208517164,0.13560942252738717,0.6458200398256975
56,LeeChongWei,1,0,0.671875,0.640625,0.640625,0.640625,0.578125,0.2655481001572696,0.1658934045290922,0.30466609724380106,0.1658934045290922,0.09799899354074486,0.642798441033618
57,prince afiq,1,0,0.6984126984126984,0.6507936507936508,0.6666666666666666,0.6507936507936508,0.6349206349206349,0.3408229474025403,0.16392177039184858,0.18189829710788055,0.16392177039184858,0.149435214705882,0.6675386019779305
58,surgeonfish,1,0,0.8354430379746836,0.7848101265822784,0.8354430379746836,0.7848101265822784,0.7215189873417721,0.6902977072124951,0.06726180436484461,0.13985830570350746,0.06718473544604234,0.03539744727311058,0.8246029976620058
59,surgeonfish,1,1,0.6216216216216216,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.5945945945945946,0.4255575374461925,0.13076725023287664,0.23461257995670712,0.13076725023287664,0.07829538213134701,0.6329149107646247
